team,playerName,Routes Run,DropType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes,plays,totalPlays,freq
PHI,A.J. Brown,31.0,0/1 Step,36.599999999999994,30,27,93.60000000000001,31.0,3.0193548387096776,35,115,0.30434782608695654
PHI,A.J. Brown,44.0,3 Step,37.8,36,27,100.80000000000001,44.0,2.290909090909091,50,115,0.43478260869565216
PHI,A.J. Brown,18.0,5 Step,21.900000000000002,0,11,32.900000000000006,18.0,1.8277777777777782,19,115,0.16521739130434782
PHI,A.J. Brown,10.0,7 Step,12.4,0,6,18.4,10.0,1.8399999999999999,11,115,0.09565217391304348
ARI,A.J. Green,38.0,0/1 Step,21.1,6,22,49.10000000000001,38.0,1.2921052631578949,40,109,0.3669724770642202
ARI,A.J. Green,53.0,3 Step,19.7,6,18,43.7,53.0,0.8245283018867925,55,109,0.5045871559633027
ARI,A.J. Green,8.0,5 Step,8.100000000000001,6,6,20.1,8.0,2.5125,10,109,0.09174311926605505
ARI,A.J. Green,4.0,7 Step,1.9000000000000001,0,1,2.9000000000000004,4.0,0.7250000000000001,4,109,0.03669724770642202
GB,Aaron Jones,8.0,0/1 Step,5.500000000000001,6,5,16.5,8.0,2.0625,9,52,0.17307692307692307
GB,Aaron Jones,24.0,3 Step,12.700000000000001,6,22,40.699999999999996,24.0,1.695833333333333,28,52,0.5384615384615384
GB,Aaron Jones,8.0,5 Step,3.5000000000000004,0,5,8.5,8.0,1.0625,9,52,0.17307692307692307
GB,Aaron Jones,5.0,7 Step,5.700000000000001,0,5,10.700000000000001,5.0,2.14,6,52,0.11538461538461539
MIN,Adam Thielen,15.0,0/1 Step,8.0,6,7,21.000000000000004,15.0,1.4000000000000001,15,91,0.16483516483516483
MIN,Adam Thielen,38.0,3 Step,26.4,30,27,83.4,38.0,2.194736842105263,39,91,0.42857142857142855
MIN,Adam Thielen,21.0,5 Step,17.400000000000002,12,15,44.39999999999999,21.0,2.114285714285714,21,91,0.23076923076923078
MIN,Adam Thielen,13.0,7 Step,21.299999999999997,12,10,43.3,13.0,3.3307692307692305,16,91,0.17582417582417584
NO,Adam Trautman,2.0,7 Step,1.5000000000000002,0,2,3.5,2.0,1.75,2,2,1.0
MIA,Alec Ingold,9.0,5 Step,7.3999999999999995,6,7,20.400000000000002,9.0,2.266666666666667,9,9,1.0
WAS,Alex Armah,2.0,7 Step,0.9,0,2,2.9,2.0,1.45,3,3,1.0
WAS,Alex Erickson,12.0,0/1 Step,13.500000000000002,0,11,24.5,12.0,2.0416666666666665,12,12,1.0
MIN,Alexander Mattison,5.0,5 Step,4.5,6,5,15.5,5.0,3.1,5,5,1.0
GB,Allen Lazard,18.0,3 Step,15.900000000000002,0,11,26.900000000000002,18.0,1.4944444444444445,20,44,0.45454545454545453
GB,Allen Lazard,12.0,5 Step,12.900000000000002,6,10,28.900000000000002,12.0,2.4083333333333337,18,44,0.4090909090909091
GB,Allen Lazard,3.0,7 Step,16.1,6,4,26.1,3.0,8.700000000000001,6,44,0.13636363636363635
NO,Alvin Kamara,13.0,0/1 Step,4.6,6,9,19.6,13.0,1.5076923076923079,13,96,0.13541666666666666
NO,Alvin Kamara,25.0,3 Step,17.6,0,20,37.6,25.0,1.504,31,96,0.3229166666666667
NO,Alvin Kamara,40.0,5 Step,33.7,6,41,80.70000000000002,40.0,2.0175000000000005,47,96,0.4895833333333333
NO,Alvin Kamara,5.0,7 Step,7.4,6,3,16.4,5.0,3.28,5,96,0.052083333333333336
CLE,Amari Cooper,26.0,0/1 Step,22.200000000000003,12,20,54.2,26.0,2.0846153846153848,27,113,0.23893805309734514
CLE,Amari Cooper,68.0,3 Step,50.29999999999999,12,47,109.30000000000001,68.0,1.6073529411764707,68,113,0.6017699115044248
CLE,Amari Cooper,13.0,5 Step,15.9,6,8,29.9,13.0,2.3,13,113,0.11504424778761062
CLE,Amari Cooper,5.0,7 Step,9.600000000000001,0,3,12.600000000000001,5.0,2.5200000000000005,5,113,0.04424778761061947
ARI,Andy Isabella,9.0,0/1 Step,4.2,0,7,11.2,9.0,1.2444444444444445,9,23,0.391304347826087
ARI,Andy Isabella,14.0,5 Step,14.500000000000002,6,7,27.500000000000004,14.0,1.9642857142857146,14,23,0.6086956521739131
ATL,Anthony Firkser,16.0,0/1 Step,13.4,0,13,26.4,16.0,1.65,17,50,0.34
ATL,Anthony Firkser,31.0,3 Step,27.200000000000003,6,23,56.20000000000001,31.0,1.812903225806452,33,50,0.66
PIT,Anthony Miller,22.0,0/1 Step,14.899999999999999,0,18,32.9,22.0,1.4954545454545454,24,65,0.36923076923076925
PIT,Anthony Miller,29.0,3 Step,21.299999999999997,6,15,42.300000000000004,29.0,1.4586206896551726,30,65,0.46153846153846156
PIT,Anthony Miller,10.0,5 Step,9.500000000000002,6,7,22.5,10.0,2.25,11,65,0.16923076923076924
WAS,Antonio Gibson,9.0,0/1 Step,0.8,0,8,8.8,9.0,0.9777777777777779,9,43,0.20930232558139536
WAS,Antonio Gibson,19.0,3 Step,10.100000000000001,0,17,27.1,19.0,1.4263157894736842,22,43,0.5116279069767442
WAS,Antonio Gibson,10.0,5 Step,11.4,0,9,20.4,10.0,2.04,10,43,0.23255813953488372
WAS,Antonio Gibson,2.0,7 Step,0.6000000000000001,0,1,1.6,2.0,0.8,2,43,0.046511627906976744
ATL,Auden Tate,10.0,0/1 Step,7.800000000000001,0,7,14.8,10.0,1.48,10,10,1.0
LAC,Austin Ekeler,13.0,0/1 Step,7.500000000000002,6,11,24.5,13.0,1.8846153846153846,13,52,0.25
LAC,Austin Ekeler,21.0,3 Step,10.700000000000003,6,16,32.7,21.0,1.5571428571428574,21,52,0.40384615384615385
LAC,Austin Ekeler,11.0,5 Step,6.100000000000001,0,10,16.1,11.0,1.4636363636363638,12,52,0.23076923076923078
LAC,Austin Ekeler,6.0,7 Step,4.7,0,5,9.7,6.0,1.6166666666666665,6,52,0.11538461538461539
TEN,Austin Hooper,6.0,0/1 Step,3.4000000000000004,6,5,14.4,6.0,2.4,9,64,0.140625
TEN,Austin Hooper,30.0,3 Step,23.8,6,23,52.8,30.0,1.76,36,64,0.5625
TEN,Austin Hooper,11.0,5 Step,7.800000000000001,12,10,29.800000000000004,11.0,2.7090909090909094,15,64,0.234375
TEN,Austin Hooper,4.0,7 Step,2.3000000000000003,6,2,10.3,4.0,2.575,4,64,0.0625
PHI,Boston Scott,16.0,3 Step,12.200000000000001,6,12,30.200000000000006,16.0,1.8875000000000004,17,24,0.7083333333333334
PHI,Boston Scott,7.0,5 Step,1.6,0,3,4.6,7.0,0.6571428571428571,7,24,0.2916666666666667
HOU,Brandin Cooks,23.0,0/1 Step,19.7,6,18,43.70000000000002,23.0,1.9000000000000008,23,102,0.22549019607843138
HOU,Brandin Cooks,41.0,3 Step,33.300000000000004,6,26,65.30000000000001,41.0,1.5926829268292686,42,102,0.4117647058823529
HOU,Brandin Cooks,28.0,5 Step,33.9,12,20,65.9,28.0,2.3535714285714286,30,102,0.29411764705882354
HOU,Brandin Cooks,6.0,7 Step,7.4,6,4,17.4,6.0,2.9,7,102,0.06862745098039216
SF,Brandon Aiyuk,36.0,0/1 Step,18.5,18,20,56.50000000000001,36.0,1.5694444444444446,38,86,0.4418604651162791
SF,Brandon Aiyuk,31.0,3 Step,35.300000000000004,12,21,68.3,31.0,2.203225806451613,32,86,0.37209302325581395
SF,Brandon Aiyuk,10.0,5 Step,7.300000000000001,0,5,12.3,10.0,1.23,10,86,0.11627906976744186
SF,Brandon Aiyuk,6.0,7 Step,4.800000000000001,0,3,7.8,6.0,1.3,6,86,0.06976744186046512
LAR,Brandon Powell,9.0,0/1 Step,4.8,6,8,18.8,9.0,2.088888888888889,9,9,1.0
NYJ,Braxton Berrios,11.0,0/1 Step,4.4,0,11,15.4,11.0,1.4000000000000001,11,49,0.22448979591836735
NYJ,Braxton Berrios,29.0,3 Step,17.4,0,16,33.400000000000006,29.0,1.1517241379310348,29,49,0.5918367346938775
NYJ,Braxton Berrios,9.0,5 Step,7.6,12,4,23.6,9.0,2.6222222222222222,9,49,0.1836734693877551
TB,Breshad Perriman,11.0,0/1 Step,3.4000000000000004,0,6,9.400000000000002,11.0,0.8545454545454547,11,59,0.1864406779661017
TB,Breshad Perriman,28.0,3 Step,18.700000000000003,12,11,41.70000000000001,28.0,1.4892857142857145,30,59,0.5084745762711864
TB,Breshad Perriman,9.0,5 Step,8.8,0,4,12.8,9.0,1.4222222222222223,9,59,0.15254237288135594
TB,Breshad Perriman,8.0,7 Step,18.0,6,6,30.000000000000004,8.0,3.7500000000000004,9,59,0.15254237288135594
CHI,Byron Pringle,5.0,5 Step,8.5,0,5,13.5,5.0,2.7,11,12,0.9166666666666666
CHI,Byron Pringle,1.0,7 Step,0.2,0,1,1.2,1.0,1.2,1,12,0.08333333333333333
MIN,C.J. Ham,4.0,7 Step,1.3,0,2,3.3,4.0,0.825,4,4,1.0
LAR,Cam Akers,3.0,7 Step,1.8,0,2,3.8000000000000003,3.0,1.2666666666666668,3,3,1.0
WAS,Cam Sims,11.0,0/1 Step,13.500000000000002,0,10,23.499999999999996,11.0,2.1363636363636362,11,57,0.19298245614035087
WAS,Cam Sims,20.0,3 Step,16.6,6,11,33.6,20.0,1.6800000000000002,26,57,0.45614035087719296
WAS,Cam Sims,6.0,5 Step,19.5,0,10,29.500000000000004,6.0,4.916666666666667,13,57,0.22807017543859648
WAS,Cam Sims,7.0,7 Step,6.5,0,4,10.5,7.0,1.5,7,57,0.12280701754385964
TB,Cameron Brate,13.0,0/1 Step,11.100000000000001,12,13,36.1,13.0,2.776923076923077,17,46,0.3695652173913043
TB,Cameron Brate,15.0,3 Step,21.700000000000003,0,19,40.70000000000001,15.0,2.713333333333334,24,46,0.5217391304347826
TB,Cameron Brate,2.0,7 Step,9.5,0,5,14.5,2.0,7.25,5,46,0.10869565217391304
DAL,CeeDee Lamb,25.0,0/1 Step,22.900000000000002,12,20,54.900000000000006,25.0,2.196,25,100,0.25
DAL,CeeDee Lamb,64.0,3 Step,53.9,18,39,110.90000000000003,64.0,1.7328125000000005,66,100,0.66
DAL,CeeDee Lamb,7.0,5 Step,7.300000000000001,0,3,10.3,7.0,1.4714285714285715,7,100,0.07
DAL,CeeDee Lamb,2.0,7 Step,2.0,0,1,3.0,2.0,1.5,2,100,0.02
HOU,Chad Beebe,20.0,3 Step,15.200000000000001,12,13,40.2,20.0,2.0100000000000002,21,21,1.0
PIT,Chase Claypool,36.0,0/1 Step,17.000000000000004,18,27,61.999999999999986,36.0,1.7222222222222219,39,125,0.312
PIT,Chase Claypool,68.0,3 Step,63.49999999999999,48,37,148.5,68.0,2.1838235294117645,79,125,0.632
PIT,Chase Claypool,7.0,5 Step,3.0,0,1,4.0,7.0,0.5714285714285714,7,125,0.056
MIA,Chase Edmonds,15.0,0/1 Step,10.3,0,13,23.299999999999997,15.0,1.5533333333333332,16,67,0.23880597014925373
MIA,Chase Edmonds,23.0,3 Step,12.9,12,18,42.900000000000006,23.0,1.8652173913043482,24,67,0.3582089552238806
MIA,Chase Edmonds,24.0,5 Step,15.800000000000002,6,21,42.8,24.0,1.7833333333333332,25,67,0.373134328358209
MIA,Chase Edmonds,2.0,7 Step,1.5,0,1,2.5,2.0,1.25,2,67,0.029850746268656716
SEA,Chris Carson,15.0,0/1 Step,8.4,0,16,24.400000000000002,15.0,1.6266666666666667,17,34,0.5
SEA,Chris Carson,13.0,3 Step,10.200000000000001,6,11,27.2,13.0,2.0923076923076924,15,34,0.4411764705882353
SEA,Chris Carson,2.0,7 Step,0.4,0,1,1.4,2.0,0.7,2,34,0.058823529411764705
HOU,Chris Conley,8.0,0/1 Step,3.8000000000000003,0,6,9.799999999999999,8.0,1.2249999999999999,9,56,0.16071428571428573
HOU,Chris Conley,29.0,3 Step,25.5,12,19,56.5,29.0,1.9482758620689655,29,56,0.5178571428571429
HOU,Chris Conley,15.0,5 Step,8.400000000000002,0,7,15.400000000000002,15.0,1.0266666666666668,15,56,0.26785714285714285
HOU,Chris Conley,3.0,7 Step,5.1000000000000005,0,1,6.1000000000000005,3.0,2.0333333333333337,3,56,0.05357142857142857
TB,Chris Godwin,24.0,0/1 Step,26.500000000000004,12,31,69.50000000000001,24.0,2.895833333333334,37,109,0.3394495412844037
TB,Chris Godwin,28.0,3 Step,23.200000000000003,6,20,49.2,28.0,1.7571428571428573,36,109,0.3302752293577982
TB,Chris Godwin,15.0,5 Step,31.300000000000004,6,15,52.300000000000004,15.0,3.486666666666667,24,109,0.22018348623853212
TB,Chris Godwin,8.0,7 Step,21.7,18,8,47.7,8.0,5.9625,12,109,0.11009174311926606
JAX,Christian Kirk,15.0,0/1 Step,10.299999999999999,12,13,35.3,15.0,2.353333333333333,16,69,0.2318840579710145
JAX,Christian Kirk,26.0,3 Step,23.799999999999997,12,18,53.800000000000004,26.0,2.0692307692307694,26,69,0.37681159420289856
JAX,Christian Kirk,27.0,5 Step,19.599999999999998,6,11,36.599999999999994,27.0,1.3555555555555554,27,69,0.391304347826087
KC,Clyde Edwards-Helaire,14.0,0/1 Step,10.3,0,12,22.3,14.0,1.592857142857143,16,52,0.3076923076923077
KC,Clyde Edwards-Helaire,23.0,3 Step,13.200000000000001,6,16,35.199999999999996,23.0,1.5304347826086955,29,52,0.5576923076923077
KC,Clyde Edwards-Helaire,5.0,5 Step,3.7,0,3,6.7,5.0,1.34,5,52,0.09615384615384616
KC,Clyde Edwards-Helaire,2.0,7 Step,3.0,0,2,5.0,2.0,2.5,2,52,0.038461538461538464
CHI,Cole Kmet,14.0,0/1 Step,10.500000000000002,6,12,28.500000000000007,14.0,2.035714285714286,16,21,0.7619047619047619
CHI,Cole Kmet,5.0,5 Step,0.6000000000000001,0,2,2.5999999999999996,5.0,0.5199999999999999,5,21,0.23809523809523808
NYG,Collin Johnson,11.0,3 Step,5.5,0,6,11.5,11.0,1.0454545454545454,11,27,0.4074074074074074
NYG,Collin Johnson,11.0,5 Step,17.8,12,8,37.800000000000004,11.0,3.436363636363637,12,27,0.4444444444444444
NYG,Collin Johnson,4.0,7 Step,2.7,0,2,4.7,4.0,1.175,4,27,0.14814814814814814
LAR,Cooper Kupp,23.0,0/1 Step,11.800000000000002,0,20,31.800000000000004,23.0,1.3826086956521741,23,120,0.19166666666666668
LAR,Cooper Kupp,61.0,3 Step,63.800000000000004,6,48,117.8,61.0,1.9311475409836065,70,120,0.5833333333333334
LAR,Cooper Kupp,11.0,5 Step,6.6,0,5,11.6,11.0,1.0545454545454545,13,120,0.10833333333333334
LAR,Cooper Kupp,12.0,7 Step,15.0,6,10,31.000000000000004,12.0,2.5833333333333335,14,120,0.11666666666666667
ATL,Cordarrelle Patterson,10.0,0/1 Step,4.8999999999999995,0,8,12.9,10.0,1.29,10,10,1.0
NYJ,Corey Davis,25.0,0/1 Step,25.900000000000002,12,24,61.90000000000001,25.0,2.4760000000000004,26,91,0.2857142857142857
NYJ,Corey Davis,34.0,3 Step,29.9,6,22,57.89999999999999,34.0,1.702941176470588,39,91,0.42857142857142855
NYJ,Corey Davis,23.0,5 Step,31.5,6,16,53.49999999999999,23.0,2.326086956521739,22,91,0.24175824175824176
NYJ,Corey Davis,4.0,7 Step,9.9,6,2,17.9,4.0,4.475,4,91,0.04395604395604396
WAS,Curtis Samuel,29.0,0/1 Step,14.200000000000003,6,23,43.199999999999996,29.0,1.489655172413793,29,83,0.3493975903614458
WAS,Curtis Samuel,25.0,3 Step,22.1,0,18,40.10000000000001,25.0,1.6040000000000003,25,83,0.30120481927710846
WAS,Curtis Samuel,23.0,5 Step,31.4,6,18,55.400000000000006,23.0,2.4086956521739133,24,83,0.2891566265060241
WAS,Curtis Samuel,4.0,7 Step,9.200000000000001,0,4,13.200000000000001,4.0,3.3000000000000003,5,83,0.060240963855421686
DET,D'Andre Swift,8.0,0/1 Step,5.700000000000001,0,7,12.7,8.0,1.5875,8,49,0.16326530612244897
DET,D'Andre Swift,28.0,3 Step,17.100000000000005,6,22,45.10000000000001,28.0,1.610714285714286,28,49,0.5714285714285714
DET,D'Andre Swift,10.0,5 Step,6.0,6,8,20.0,10.0,2.0,11,49,0.22448979591836735
DET,D'Andre Swift,2.0,7 Step,0.5,0,1,1.5,2.0,0.75,2,49,0.04081632653061224
CAR,DJ Moore,30.0,0/1 Step,23.3,12,20,55.3,30.0,1.8433333333333333,31,112,0.2767857142857143
CAR,DJ Moore,40.0,3 Step,43.999999999999986,6,22,72.00000000000001,40.0,1.8000000000000003,42,112,0.375
CAR,DJ Moore,31.0,5 Step,37.400000000000006,6,16,59.400000000000006,31.0,1.9161290322580646,31,112,0.2767857142857143
CAR,DJ Moore,8.0,7 Step,11.600000000000001,0,5,16.6,8.0,2.075,8,112,0.07142857142857142
SEA,DK Metcalf,50.0,0/1 Step,42.29999999999999,24,37,103.30000000000001,50.0,2.0660000000000003,53,136,0.3897058823529412
SEA,DK Metcalf,34.0,3 Step,45.10000000000001,24,23,92.10000000000002,34.0,2.7088235294117653,40,136,0.29411764705882354
SEA,DK Metcalf,25.0,5 Step,39.800000000000004,12,15,66.80000000000001,25.0,2.6720000000000006,30,136,0.22058823529411764
SEA,DK Metcalf,12.0,7 Step,13.600000000000003,6,7,26.6,12.0,2.216666666666667,13,136,0.09558823529411764
PHI,Dallas Goedert,22.0,0/1 Step,19.2,6,16,41.2,22.0,1.8727272727272728,22,55,0.4
PHI,Dallas Goedert,26.0,3 Step,15.0,12,16,43.0,26.0,1.6538461538461537,27,55,0.4909090909090909
PHI,Dallas Goedert,6.0,5 Step,8.3,0,5,13.3,6.0,2.216666666666667,6,55,0.10909090909090909
DAL,Dalton Schultz,19.0,0/1 Step,10.399999999999999,6,14,30.4,19.0,1.5999999999999999,19,68,0.27941176470588236
DAL,Dalton Schultz,45.0,3 Step,29.399999999999995,12,30,71.4,45.0,1.586666666666667,47,68,0.6911764705882353
DAL,Dalton Schultz,2.0,7 Step,1.7000000000000002,0,2,3.7,2.0,1.85,2,68,0.029411764705882353
MIN,Dalvin Cook,19.0,3 Step,11.6,0,16,27.6,19.0,1.4526315789473685,21,33,0.6363636363636364
MIN,Dalvin Cook,8.0,5 Step,5.8,0,7,12.8,8.0,1.6,8,33,0.24242424242424243
MIN,Dalvin Cook,4.0,7 Step,1.3,0,2,3.3,4.0,0.825,4,33,0.12121212121212122
ATL,Damiere Byrd,20.0,0/1 Step,14.599999999999998,0,15,29.6,20.0,1.48,20,71,0.28169014084507044
ATL,Damiere Byrd,21.0,3 Step,16.7,0,13,29.700000000000003,21.0,1.4142857142857144,21,71,0.29577464788732394
ATL,Damiere Byrd,24.0,5 Step,24.5,6,12,42.49999999999999,24.0,1.770833333333333,24,71,0.3380281690140845
ATL,Damiere Byrd,5.0,7 Step,2.8,0,2,4.8,5.0,0.96,6,71,0.08450704225352113
JAX,Dan Arnold,15.0,3 Step,17.7,12,10,39.69999999999999,15.0,2.646666666666666,18,37,0.4864864864864865
JAX,Dan Arnold,20.0,5 Step,19.7,6,13,38.7,20.0,1.935,19,37,0.5135135135135135
NYG,Darius Slayton,29.0,0/1 Step,18.1,6,16,40.10000000000001,29.0,1.3827586206896554,29,88,0.32954545454545453
NYG,Darius Slayton,36.0,3 Step,38.900000000000006,12,21,71.89999999999999,36.0,1.997222222222222,39,88,0.4431818181818182
NYG,Darius Slayton,10.0,5 Step,6.7,0,5,11.7,10.0,1.17,11,88,0.125
NYG,Darius Slayton,8.0,7 Step,7.1000000000000005,6,3,16.1,8.0,2.0125,9,88,0.10227272727272728
CHI,Darnell Mooney,19.0,0/1 Step,9.4,6,15,30.400000000000006,19.0,1.6000000000000003,19,69,0.2753623188405797
CHI,Darnell Mooney,28.0,3 Step,15.699999999999998,6,12,33.699999999999996,28.0,1.2035714285714285,30,69,0.43478260869565216
CHI,Darnell Mooney,15.0,5 Step,13.8,0,8,21.8,15.0,1.4533333333333334,15,69,0.21739130434782608
CHI,Darnell Mooney,5.0,7 Step,3.8000000000000003,0,2,5.800000000000001,5.0,1.1600000000000001,5,69,0.07246376811594203
ARI,Darrel Williams,15.0,3 Step,8.5,0,14,22.5,15.0,1.5,22,23,0.9565217391304348
ARI,Darrel Williams,1.0,7 Step,1.2000000000000002,0,1,2.2,1.0,2.2,1,23,0.043478260869565216
LV,Darren Waller,35.0,0/1 Step,27.8,18,25,70.80000000000001,35.0,2.022857142857143,37,119,0.31092436974789917
LV,Darren Waller,53.0,3 Step,49.2,12,39,100.20000000000003,53.0,1.8905660377358497,56,119,0.47058823529411764
LV,Darren Waller,16.0,5 Step,19.1,12,11,42.099999999999994,16.0,2.6312499999999996,16,119,0.13445378151260504
LV,Darren Waller,10.0,7 Step,5.300000000000001,0,4,9.3,10.0,0.93,10,119,0.08403361344537816
LV,Davante Adams,29.0,0/1 Step,29.900000000000006,12,28,69.9,29.0,2.410344827586207,34,135,0.2518518518518518
LV,Davante Adams,54.0,3 Step,53.400000000000006,42,43,138.39999999999998,54.0,2.5629629629629624,62,135,0.45925925925925926
LV,Davante Adams,24.0,5 Step,28.700000000000003,24,17,69.69999999999999,24.0,2.9041666666666663,30,135,0.2222222222222222
LV,Davante Adams,9.0,7 Step,14.2,6,7,27.2,9.0,3.022222222222222,9,135,0.06666666666666667
CHI,David Montgomery,18.0,0/1 Step,8.5,6,15,29.5,18.0,1.6388888888888888,19,62,0.3064516129032258
CHI,David Montgomery,28.0,3 Step,18.200000000000003,0,22,40.2,28.0,1.4357142857142857,30,62,0.4838709677419355
CHI,David Montgomery,10.0,5 Step,11.100000000000001,6,8,25.099999999999998,10.0,2.51,10,62,0.16129032258064516
CHI,David Montgomery,3.0,7 Step,3.0,0,3,6.0,3.0,2.0,3,62,0.04838709677419355
CHI,David Moore,22.0,0/1 Step,8.2,12,15,35.2,22.0,1.6,22,31,0.7096774193548387
CHI,David Moore,9.0,5 Step,16.1,6,6,28.1,9.0,3.1222222222222222,9,31,0.2903225806451613
CLE,David Njoku,10.0,0/1 Step,7.300000000000002,0,8,15.300000000000002,10.0,1.5300000000000002,11,11,1.0
BUF,Dawson Knox,11.0,0/1 Step,5.800000000000001,6,5,16.800000000000004,11.0,1.5272727272727276,11,48,0.22916666666666666
BUF,Dawson Knox,15.0,3 Step,12.200000000000001,6,11,29.199999999999996,15.0,1.9466666666666663,20,48,0.4166666666666667
